"ejercicio_presupuestario","Trimestre","finalidad_id","finalidad_desc","funcion_id","funcion_desc","jurisdiccion_id","jurisdiccion_desc","subjurisdiccion_id","subjurisdiccion_desc","servicio_id","servicio_desc","programa_id","programa_desc","subprograma_id","subprograma_desc",tipo_medicion,"medicion_fisica_id","medicion_fisica_desc","unidad_medida_id","unidad_medida_desc","totalizador_avance_fisico","programacion_inicial","programacion_inicial_ajustada","ejecutado_vigente_trim4","ejecutado_acumulado_trim4","causa_desvio","causa_desvio_detalle","ultima_actualizacion_fecha"
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",319,"Defensoría del Pueblo",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos","Meta",1269,"Recepción de Quejas Promovidas por los Ciudadanos",30,"Caso","Suma",10.000,10.000,0,8.831,"Otras Causas","Por el incremento de las tarifas públicas.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",319,"Defensoría del Pueblo",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos","Meta",3169,"Difusión Radiofónica",1539,"Programa Emitido","Suma",54,52,0,39,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",319,"Defensoría del Pueblo",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos","Meta",3778,"Promoción de Objetivos de Desarrollo Sostenible",1156,"Taller Realizado","Suma",4,4,0,3,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",346,"Defensoría del Público de Servicios de Comunicación Audiovisual",36,"Defensa del Público de Servicios de Comunicación Audiovisual",0,"Defensa del Público de Servicios de Comunicación Audiovisual","Indicador",70,"Asistencia a Actividades de Promoción del Derecho a la Comunicación y a la Información",1436,"Asistente por Actividad","Suma",58,39,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",346,"Defensoría del Público de Servicios de Comunicación Audiovisual",36,"Defensa del Público de Servicios de Comunicación Audiovisual",0,"Defensa del Público de Servicios de Comunicación Audiovisual","Meta",2852,"Recepción de Presentaciones Promovidas por los Ciudadanos",607,"Presentación","Suma",2.475,2.475,188,3.101,"Otras causas","Las presentaciones temáticas consignadas en la presente corresponden a las manifestaciones que recibió este organismo en relación con los siguientes universos a) ""Representaciones mediáticas consideradas inconvenientes"" b)""Acceso y cumplimiento de las pautas fijadas por la normativa vigente en relación con canales, señales y frecuencias de radio"" y c) ""Pedidos de capacitación y solicitudes de representación de las audiencias ante la autoridad d aplicación de la Ley. La variación de la ejecución respecto de lo programado se fundamenta en que las presentaciones temáticas no dependen de una variable definida, sino que son producto de la coyuntura y de los hechos comunicacionales que ocurren en el país.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",346,"Defensoría del Público de Servicios de Comunicación Audiovisual",36,"Defensa del Público de Servicios de Comunicación Audiovisual",0,"Defensa del Público de Servicios de Comunicación Audiovisual","Meta",2854,"Participación en Audiencias Públicas",583,"Participante","Suma",1.200,1.000,0,0,"Otras causas","No se realizaron Audiencias Públicas. Las mismas, tal como se indicó en las causas de desvíos de esta meta para el primer trimestre, tendrán lugar en el segundo semestre del año en curso. En este segundo trimestre nos hemos avocado a la etapa de diseño y planificación luego de haber definido como región a intervenir con esta acción la Región Sur. La selección de esta región se sustenta en que durante el período 2017-2018 no fue abordada en este aspecto. Asimismo, habiendo realizado un diagnóstico sobre los temas de interés, durante el segundo trimestre hemos definido el tema de la Audiencia Pública: Los desafíos de la convergencia en al Región Sur de Argentina.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",346,"Defensoría del Público de Servicios de Comunicación Audiovisual",36,"Defensa del Público de Servicios de Comunicación Audiovisual",0,"Defensa del Público de Servicios de Comunicación Audiovisual","Meta",2855,"Otorgamiento de Becas de Investigación y Capacitación",243,"Becario","Suma",150,150,0,0,"Otras causas","No se han otorgado becas conforme a la planificación realizada para el corriente año.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",346,"Defensoría del Público de Servicios de Comunicación Audiovisual",36,"Defensa del Público de Servicios de Comunicación Audiovisual",0,"Defensa del Público de Servicios de Comunicación Audiovisual","Meta",3653,"Formación en Derecho a la Comunicación y Derechos de las Audiencias",583,"Participante","Suma",45.000,35.000,15.096,47.802,"Otras causas","Se ha superado la meta estimada para este trimestre en gran parte debido a la implementación de nuevas modalidades virt. es como ser el primer curso virt.  en género y comunicación, cuya inscripción creció sustantivamente.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",346,"Defensoría del Público de Servicios de Comunicación Audiovisual",36,"Defensa del Público de Servicios de Comunicación Audiovisual",0,"Defensa del Público de Servicios de Comunicación Audiovisual","Meta",3795,"Monitoreo de Material Audiovisual de Noticieros",1045,"Informe Realizado","Suma",7,7,2,7,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",340,"Procuración Penitenciaria",26,"Protección de los Derechos del Interno Penitenciario",0,"Protección de los Derechos del Interno Penitenciario","Indicador",39,"Proporción de Torturas y Malos Tratos en el Total de Casos Investigados",1187,"Porcentaje","Suma",1,1,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",340,"Procuración Penitenciaria",26,"Protección de los Derechos del Interno Penitenciario",0,"Protección de los Derechos del Interno Penitenciario","Indicador",40,"Proporción de Expedientes Iniciados por Torturas y Malos Tratos que llegan a Instancias de Denuncia Penal",1187,"Porcentaje","Suma",52,52,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",340,"Procuración Penitenciaria",26,"Protección de los Derechos del Interno Penitenciario",0,"Protección de los Derechos del Interno Penitenciario","Meta",1882,"Atención de Internos Damnificados",1354,"Caso Gestionado","Suma",47.600,49.000,17.008,68.699,"Otras Causas","Tanto en el primero, como segundo trimestres, se superó en gran medida la meta (alrededor de un 50%) por las razones expuestas para ambos períodos. Es probable que se mantenga. Además, se han incorporado vías alternativas de atención de internos, como por ejemplo WhatsApp, más allá del correo electrónico.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",340,"Procuración Penitenciaria",26,"Protección de los Derechos del Interno Penitenciario",0,"Protección de los Derechos del Interno Penitenciario","Meta",1900,"Inspección de Centros de Detención",24,"Inspección","Suma",250,490,138,559,"Otras Causas","Son 6 inspecciones las que provocan este desvio. Es posible que, por no contar al cierre con el total de la información procesada, no la hayamos alcanzado.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",340,"Procuración Penitenciaria",26,"Protección de los Derechos del Interno Penitenciario",0,"Protección de los Derechos del Interno Penitenciario","Meta",1900,"Inspección de Centros de Detención",380,"Visita","Suma",2.800,2.800,617,2.615,"Otras Causas","No es significativo este 0,24%.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",340,"Procuración Penitenciaria",26,"Protección de los Derechos del Interno Penitenciario",0,"Protección de los Derechos del Interno Penitenciario","Meta",2041,"Atención Médica a Internos",939,"Interno Atendido","Suma",4.500,4.500,930,3.582,"Otras Causas","Luego de 3 trimestres de desvíos negativos mayores al 20% en la UM correspondiente a la atención médica a internos, el 4° trimestre se logró superar la meta en un 3,33%, que obviamente no alcanza para culminar el año arriba. Continúa la falta de médicos en delgaciones del Interior, sumado al retiro de personal de Sede Central (jubilación) que no ha sido reemplazado.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",22,"Justicia de Casación",0,"Justicia de Casación","Indicador",126,"Tasa de Descongestión de Expedientes",1476,"Ratio","Suma",1,1,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",22,"Justicia de Casación",1,"Fuero Penal","Avance Financiero",1,"Avance Financiero de Proyecto",887,"Pesos","Suma",1.092.731,0,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",22,"Justicia de Casación",1,"Fuero Penal","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",,,0,0,"Otras Causas","Obra con inicio posterior a la Programación Inicial 2019",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",22,"Justicia de Casación",1,"Fuero Penal","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",20,0,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",1,"Fuero Criminal y Correccional","Meta",1135,"Resolución de Causas en 1ra.Instancia",654,"Causa Resuelta","Suma",115.463,93.700,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",1,"Fuero Criminal y Correccional","Meta",1136,"Resolución de Causas en 2da.Instancia",654,"Causa Resuelta","Suma",10.013,6.800,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",2,"Fuero Civil","Avance Financiero",1,"Avance Financiero de Proyecto",887,"Pesos","Suma",1.999.638,7.998.553,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",2,"Fuero Civil","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",20,100,0,0,"Otras Causas","Resolución AG N°601/19 Declara la rescisión del contrato.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",2,"Fuero Civil","Meta",1135,"Resolución de Causas en 1ra.Instancia",654,"Causa Resuelta","Suma",58.823,50.000,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",2,"Fuero Civil","Meta",1136,"Resolución de Causas en 2da.Instancia",654,"Causa Resuelta","Suma",20.623,15.000,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",3,"Fuero Comercial","Avance Financiero",1,"Avance Financiero de Proyecto",887,"Pesos","Suma",6.089.880,5.572.453,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",3,"Fuero Comercial","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",80,49,0,0,"Otras Causas","""DICT. SAJ deja sin efecto la licitación por no haberse comunicado las circulares aclaratorias en los plazos correspondientes. Pendiente declarar el fracaso """,28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",3,"Fuero Comercial","Meta",1135,"Resolución de Causas en 1ra.Instancia",654,"Causa Resuelta","Suma",31.315,20.100,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",3,"Fuero Comercial","Meta",1136,"Resolución de Causas en 2da.Instancia",654,"Causa Resuelta","Suma",13.472,10.800,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",4,"Fuero del Trabajo","Meta",1135,"Resolución de Causas en 1ra.Instancia",654,"Causa Resuelta","Suma",43.650,60.900,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",4,"Fuero del Trabajo","Meta",1136,"Resolución de Causas en 2da.Instancia",654,"Causa Resuelta","Suma",22.035,27.800,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",23,"Justicia Ordinaria de la Ciudad Autónoma de Buenos Aires",6,"Justicia Penal Oral Ordinaria","Meta",1137,"Resolución de Juicios Orales",654,"Causa Resuelta","Suma",8.415,5.500,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",1,"Fuero Criminal y Correccional Federal","Meta",1135,"Resolución de Causas en 1ra.Instancia",654,"Causa Resuelta","Suma",17.099,15.000,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",1,"Fuero Criminal y Correccional Federal","Meta",1136,"Resolución de Causas en 2da.Instancia",654,"Causa Resuelta","Suma",3.071,3.300,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",2,"Fuero Civil y Comercial Federal","Meta",1135,"Resolución de Causas en 1ra.Instancia",654,"Causa Resuelta","Suma",11.541,8.200,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",2,"Fuero Civil y Comercial Federal","Meta",1136,"Resolución de Causas en 2da.Instancia",654,"Causa Resuelta","Suma",1.809,1.800,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",3,"Fuero Contencioso Administrativo Federal","Meta",1135,"Resolución de Causas en 1ra.Instancia",654,"Causa Resuelta","Suma",48.968,47.600,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",3,"Fuero Contencioso Administrativo Federal","Meta",1136,"Resolución de Causas en 2da.Instancia",654,"Causa Resuelta","Suma",9.135,12.000,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",4,"Fuero Federal de la Seguridad Social","Meta",1135,"Resolución de Causas en 1ra.Instancia",654,"Causa Resuelta","Suma",109.019,120.500,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",4,"Fuero Federal de la Seguridad Social","Meta",1136,"Resolución de Causas en 2da.Instancia",654,"Causa Resuelta","Suma",32.874,46.100,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",5,"Fuero Electoral","Meta",1138,"Resolución de Causas Electorales",654,"Causa Resuelta","Suma",225,400,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",6,"Justicia Penal Oral Federal de la Ciudad Autónoma de Buenos Aires","Meta",1137,"Resolución de Juicios Orales",654,"Causa Resuelta","Suma",1.062,1.000,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",7,"Área Cámara de la Plata","Avance Financiero",1,"Avance Financiero de Proyecto",887,"Pesos","Suma",4.351.317,0,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",7,"Área Cámara de la Plata","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",,,0,0,"Otras Causas","Abierta con posterioridad a la presentación de la programación.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",7,"Área Cámara de la Plata","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",70,0,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",7,"Área Cámara de la Plata","Meta",1135,"Resolución de Causas en 1ra.Instancia",654,"Causa Resuelta","Suma",47.808,54.100,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",7,"Área Cámara de la Plata","Meta",1136,"Resolución de Causas en 2da.Instancia",654,"Causa Resuelta","Suma",3.807,6.200,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",8,"Área Cámara Mar del Plata","Meta",1135,"Resolución de Causas en 1ra.Instancia",654,"Causa Resuelta","Suma",18.686,22.800,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",8,"Área Cámara Mar del Plata","Meta",1136,"Resolución de Causas en 2da.Instancia",654,"Causa Resuelta","Suma",2.981,5.500,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",9,"Área Cámara Bahía Blanca","Avance Financiero",1,"Avance Financiero de Proyecto",887,"Pesos","Suma",1.198.623,0,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",9,"Área Cámara Bahía Blanca","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",20,100,0,0,"Otras Causas","Resolución AG N°1400/19 Declara la rescisión del contrato.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",2,"Judicial",5,"Poder Judicial de la Nación",0,"Poder Judicial de la Nación",320,"Consejo de la Magistratura",24,"Justicia Federal",9,"Área Cámara Bahía Blanca","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",20,0,0,0,"Sin causa de desvío","",28 ene 20
